TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:24:979238  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                recvfrom                  sockfd: 4, buf: 0x78db8184b550, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:24:979269  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 5
03:27:24:979343  1cdeb56b485d  deploy-vuln-app: 0      Thread-36 (proc  1      /43819   41     /81044   0                close                     fd: 4
03:27:24:981990  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884184203264  mmap                      addr: 0x0, length: 32768, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982013  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884176265216  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:24:982024  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   42               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:24:982024  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   42     /81046   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:24:982071  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   42     /81046   132884184186880  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982110  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   132884176130048  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982132  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   224              recvfrom                  sockfd: 4, buf: 0x78db821d5550, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:24:982514  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   132884184137728  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982582  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   132884176039936  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982688  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   0                close                     fd: 5
03:27:24:982806  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   132884184137728  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:24:982863  1cdeb56b485d  deploy-vuln-app: 0      Thread-37 (proc  1      /43819   42     /81046   132884176039936  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
